卡组不存在,牌組不存在,The deck does not exist,Le deck n'existe pas.,Das Deck existiert nicht.,Il deck non esiste.,O deck não existe.,El Deck no existe.,デッキは存在しません,덱이 존재하지 않습니다
点赞过于频繁，请于 10 分钟后再试,點贊過於頻繁，請於10分鐘後再試,You are liking decks too often. Please try again in 10 minutes.,Vous attribuez des J'aime aux decks trop souvent. Réessayez dans 10 minutes.,Du vergibst zu oft Likes an Decks. Versuche es in 10 Minuten erneut.,"Stai mettendo ""Mi piace"" ai deck troppo spesso. Riprova tra 10 minuti.","Estás a colocar ""Gosto"" nos decks com demasiada frequência. Tenta novamente dentro de 10 minutos.","Estás dando ""Me gusta"" a los Decks con demasiada frecuencia. Vuelve a intentarlo dentro de 10 minutos.",「いいね！」の頻度が高すぎるため、１０分後にもう一度お試しください。,"「좋아요!」의 빈도가 너무 높기 때문에, 10분 후 다시 시도하세요."
请求来源不正确,請求來源不正確,Invalid request origin.,Origine de la requête invalide.,Ungültige Herkunft der Anfrage.,Origine della richiesta non valida.,Origem do pedido inválida.,Origen de la solicitud no válido.,リクエスト先が間違っています,리퀘스트 출처가 틀렸습니다
卡组或贡献者名称中包含敏感词「[?]」，不能上传,牌組或貢獻者名稱中包含敏感詞「[?]」，不能上傳,"The deck name or author name contains the sensitive word ""[?]"" and cannot be uploaded","Le nom du deck ou de l'auteur contient le mot sensible ""[?]"" et le téléversement est impossible.",Der Name des Decks oder des Autors enthält das gesperrte Wort „[?]“; ein Hochladen ist nicht möglich.,"Il nome del deck o dell'autore contiene la parola sensibile ""[?]"" e il caricamento non è consentito.","O nome do deck ou do autor contém a palavra sensível ""[?]"" e o carregamento não é permitido.","El nombre del Deck o del Autor contiene la palabra sensible ""[?]"" y no se puede subir.",デッキか作者名がセンシティブな言葉「[?]」が含まれています、アップロードできません。,덱이나 작성자명에 민감한 단어 「[?]」가 포함되어 있어 업로드할 수 없습니다.
网络异常，获取在线卡组失败。,網絡异常，獲取線上牌組失敗。,Network error. Failed to retrieve the online deck.,Erreur réseau. Impossible de récupérer le deck en ligne.,Netzwerkfehler. Das Online-Deck konnte nicht abgerufen werden.,Errore di rete. Impossibile recuperare il deck online.,Erro de rede. Não foi possível obter o deck online.,Error de red. No se pudo obtener el Deck Online.,ネットワーク異常です、オンラインデッキを読み取り失敗しました。,네트워크 오류. 온라인 덱 불러오기 실패.
网络异常，获取在线卡组列表失败。,網絡异常，獲取線上牌組清單失敗。,Network error. Failed to retrieve the online deck list.,Erreur réseau. Impossible de récupérer la liste des decks en ligne.,Netzwerkfehler. Die Liste der Online-Decks konnte nicht abgerufen werden.,Errore di rete. Impossibile recuperare l'elenco dei deck online.,Erro de rede. Não foi possível obter a lista de decks online.,Error de red. No se pudo obtener la lista de Decks Online.,ネットワーク異常です、オンラインデッキリストを読み取り失敗しました。,네트워크 오류. 온라인 덱 목록 불러오기 실패.
上传卡组「[?]」成功。,上傳牌组「[?]」成功。,"Deck ""[?]"" uploaded successfully.","Deck ""[?]"" téléversé avec succès.",Deck „[?]“ erfolgreich hochgeladen.,"Deck ""[?]"" caricato con successo.","Deck ""[?]"" carregado com sucesso.","Deck ""[?]"" subido correctamente.",「[?]」デッキのアップロードが成功しました。,덱 「[?]」 업로드 성공.
上传卡组「[?]」失败：,上傳牌组「[?]」失敗：,"Failed to upload deck ""[?]"":","Échec du téléversement du deck ""[?]"" :",Deck „[?]“ konnte nicht hochgeladen werden:,"Impossibile caricare il deck ""[?]"":","Falha ao carregar o deck ""[?]"":","Fallo al subir el Deck ""[?]"":",「[?]」デッキのアップロードが失敗しました：,덱 「[?]」 업로드 실패：
上传卡组失败：,上傳牌组失敗：,Failed to Upload Deck:,Échec du téléversement du deck :,Das Deck konnte nicht hochgeladen werden:,Impossibile caricare il deck:,Falha ao carregar o deck:,Fallo al subir el Deck:,デッキのアップロードが失敗しました：,덱 업로드 실패：
更新卡组「[?]」成功。,更新牌组「[?]」成功。,"Deck ""[?]"" updated successfully.","Deck ""[?]"" mis à jour avec succès.",Deck „[?]“ erfolgreich aktualisiert.,"Deck ""[?]"" aggiornato con successo.","Deck ""[?]"" atualizado com sucesso.","Deck ""[?]"" actualizado correctamente.",「[?]」デッキの更新が成功しました。,덱 「[?]」 갱신 성공.
更新卡组「[?]」失败：,更新牌组「[?]」失敗：,"Failed to update deck ""[?]"":","Échec de la mise à jour du deck ""[?]"" :",Deck „[?]“ konnte nicht aktualisiert werden:,"Impossibile aggiornare il deck ""[?]"":","Falha ao atualizar o deck ""[?]"":","Fallo al actualizar el Deck ""[?]"":",「[?]」デッキの更新が失敗しました：,덱 「[?]」 갱신 실패：
更新卡组失败：,更新牌组失敗：,Failed to Update Deck:,Échec de la mise à jour du Deck :,Aktualisierung des Decks fehlgeschlagen:,Non È Stato Possibile Aggiornare Il Deck:,Falha geral na atualização:,Fallo al actualizar el Deck:,デッキの更新が失敗しました：,덱 갱신 실패：
点赞卡组成功。,點讚牌組成功。,Deck liked successfully.,Aimé Réussi.,„Gefällt mir“ erfolgreich.,Mi Piace Inviato Correttamente.,Curtida registrada.,"""Me gusta"" registrado correctamente.",デッキに「いいね！」が成功しました,덱 좋아요 성공.
点赞卡组失败：,點讚牌組失敗：,Failed to like deck:,Aimé Échoué :,„Gefällt mir“ fehlgeschlagen:,"Errore Nell'Invio Del ""Mi Piace""",Falha ao curtir:,"Fallo al dar ""Me gusta"":",デッキに「いいね！」が失敗しました：,덱 좋아요 실패：
更新在线卡组,更新線上牌組,Update Online Deck,Mettre à jour le Deck en ligne,Online-Deck aktualisieren,Aggiorna Il Deck Online,Atualizar Deck Online,Actualizar Deck Online,オンラインデッキを更新する,온라인 덱 갱신
复制在线卡组分享码,複製線上牌組分享碼,Copy Online Deck Sharing Code,Copier le code de partage de Deck en ligne,Freigabecode des Online-Decks kopieren,Copia Il Codice Di Condivisione Del Deck Online,Copiar código de compartilhamento,Copiar el Código para Compartir el Deck Online.,オンラインデッキの共有コードをコピーする,온라인 덱 공유 코드 복사
#DeckPickup,,,,,,,,,
三大代表卡,三大代表卡,Three Main Cards,Trois cartes représentatives,Drei Repräsentative Karten,Tre Carte di Copertina,Três Cards Representantes,Tres Cartas Principales,代表する３枚のカード,대표할 3장 카드
更改代表卡,更改代表卡,Change three main Cards,Changer la carte de représentation,Repräsentative Karte ändern,Cambia Carte di Copertina,Alterar Cards Representantes,Cambiar Cartas Principales,代表カードを変更する,대표 카드 변경
变更三大代表卡,變更三大代表卡,Change three main Cards,Changez les trois cartes représentatives,Die drei Repräsentativen Karten ändern,Cambia Le Tre Carte di Copertina,Alterar os Três Cards Representantes,Cambiar las Tres Cartas Principales,代表する３枚のカードを変更する,대표할 3장 카드를 설정
未设置,未設置,Not Set,Non défini,Nicht festgelegt,Non Impostato,Não definido,No Establecido,設置しない,설정되지 않음
可以设置三大代表卡在卡组菜单中显示。@n※更改三大代表卡不会影响决斗。,可以設置三大代表卡在卡組菜單中顯示。@n※更改三大代表卡不會影響決鬥。,Customize the three main Cards that will be displayed in your Deck Menu.@n※(The three main Cards will not affect your Duels.),Trois cartes représentatives peuvent être configurées pour être affichées dans le groupe de cartes menu@n... Changer les trois cartes représentatives principales n'affectera pas le Duel.,"Drei Vorschaukarten können festgelegt werden, um sie im Deck-Menü anzuzeigen.※Das Ändern dieser Karten hat keinen Einfluss auf den Duellverlauf.",Possono essere impostate Tre carte di Copertina per essere visualizzate nel menu del gruppo di carte@n※Cambiare le tre carte di Copertina non influenzerà il duello.,Três Cards Representantes podem ser configurados para serem exibidos no menu do grupo de cards@n※Mudar os Três Cards Representantes principais não afetará o Duelo.,Se pueden configurar tres cartas principales para mostrarlas en el menú del Deck. @n※ Cambiar las tres cartas principales no afectará el duelo.,代表カードを設置してデッキメニューに表示されます。@n※代表カードの設置にはヂュエルへの影響はありません。,대표 카드를 설치하면 덱 메뉴에 표시됩니다. @n※대표 카드 설치에는 듀얼에 대한 영향은 없습니다.
#Card Renderer,,,,,,,,,
魔法卡,魔法卡,SPELL CARD,CARTE SORT,ZAUBERKARTE,CARTA MAGIA,CARD DE MAGIA,CARTA MÁGICA,魔法カード,마법 카드
陷阱卡,陷阱卡,TRAP CARD,CARTE PIÈGE,FALLENKARTE,CARTA TRAPPOLA,CARD DE ARMADILHA,CARTA TRAMPA,罠カード,함정 카드
#Rush Duel Mate,,,,,,,,,
七星道魔术师,七王道魔術師,Sevens Road Magician,Magicien de la Route Sevens,Sevens-Straßenmagier,Mago di Strada Sevens,Mago do Caminho Sevens,Mago del Camino Sevens,セブンスロード・マジシャン,세븐즈로드 매지션
落单使魔,流浪使魔,Straynge Cat,Chat Errange,Seltsamer Streuner,Gatto Strandagio,Gato Disperso,Gata Extrañojera,はぐれ使い魔,낙오자 사역마
连击龙 齿车戒龙,連擊龍禁制咒龍,Multistrike Dragon Dragias,Dragias le Dragon Multi-Attaques,Multischlag-Drache Dragias,Drago Multicolpo Dragias,Dragão Dragias de Múltiplos Golpes,Dragón Dragias Multiataque,連撃竜ドラギアス,연격룡 드라기아스
双刃龙,雙刃龍,Twin Edge Dragon,Dragon Double Lame,Zwillingskanten-Drache,Drago Lame Gemelle,Dragão das Lâminas Gêmeas,Dragón de Doble Filo,ツインエッジ・ドラゴン,트윈에지드래곤
掌上小龙,掌上小龍,Draco the Tiny,Draco le Tout Petit,Draco der Winzige,Draco il Minuscolo,"Draco, o Pequeno",Draco el Diminuto,手乗りドラコ,테노리 드라코
七星道魔女,七王道魔女,Sevens Road Witch,Sorcière de la Route Sevens,Sevens-Straßenhexe,Strega di Strada Sevens,Bruxa do Caminho Sevens,Bruja del Camino Sevens,セブンスロード・ウィッチ,세븐즈로드 위치
耳语妖精,私語之妖精,Whispering Fairy,Fée Chuchoteuse,Flüsterfee,Fata Sussurrante,Fada Sussurrante,Hada Susurrante,ささやきの妖精,속닥속닥 요정
龙队翻盘击球手,翻盤龍打者,Sportsdragon Slugger,Cogneur des Dragons Sportifs,Sportdrache Schläger,Sportdrago Battitore,Rebatedor Dragosporte,Sportdragón Bateador,ドラゴンズ・アップセッター,드래곤즈 업세터
龙队布局投球手,佈局龍投手,Sportsdragon Pitcher,Lanceur des Dragons Sportifs,Sportdrache Werfer,Sportdrago Lanciatore,Lançador Dragosporte,Sportdragón Lanzador,ドラゴンズ・セットアッパー,드래곤즈 세트어퍼
魔将 雅灭鲁拉,魔將遏阻統帥,Yamiruler the Dark Delayer,Yamiruler le Retardateur des Ténèbres,Yamiruler der dunkle Verzögerer,Yamiruler il Ritardatore Oscuro,"Yamiruler, o Retardador Negro",Yamiruler el Retrasador Oscuro,魔将ヤメルーラ,마장야메룰러
古之守护龟,古之守護龜,Ancient Turtle Protector,Ancienne Tortue Protectrice,Uralter Schildkröten-Beschützer,Antica Tartaruga Protettrice,Tartaruga Protetora Anciã,Protector de Antigua Tortuga,古の守り亀,고대의 수호거북
七星道法师,七王道法師,Sevens Road Mage,Mage de la Route Sevens,Sevens-Straßenzauberer,Magus di Strada Sevens,Mágico do Caminho Sevens,Brujo del Camino Sevens,セブンスロード・メイジ,세븐즈로드 메이지
斗将 难得斯,鬥將什麼,Nandes the Fire Awakener,Nandes l'Éveilleur du Feu,Nandes der Erwecker des Feuers,Nandes il Risveglia Fuoco,"Nandes, o Despertador de Fogo",Nandes el Despertador de Fuego,闘将ナンデス,투장 난데스
王家魔族·骨肉皮,皇家魔鬼迷妹,Royal Rebel's Fanatic,Fanatique des Rebelles Royaux,Fanatikerin des königlichen Rebellen,Fanatica del Ribelle Reale,Fanática do Royal Rebel,Fanática del Rebelde Real,ロイヤルデモンズ・グルーピー,로얄데먼즈 그루피
火星心少女,火花心少女,Sparkhearts Girl,Fille Brillecœurs,Funkenherz-Mädchen,Ragazza Accendicuori,Garota Queima Corações,Chica Despiertacorazones,スパークハーツ・ガール,스파크하츠 걸
超魔机神 大霸道王,超魔機神極超王道,Supreme Machine Magnum Overlord,Seigneur Magnum de la Machine Suprême,Oberste Maschine Magnum Overlord,Macchina Suprema Sovrano Magno,Máquina Suprema Suserano Magnum,Máquina Suprema Mágnum Jefe Supremo,超魔機神マグナム・オーバーロード,초마기신 매그넘 오버로드
祭神 莫多丽娜,祭神 歸曲,Modorina the Light Retriever,Modorina la Récupératrice de la Lumière,Modorina die Zurückholerin des Lichts,Modorina la Recuperatrice della Luce,"Modorina, a Retriever da Luz",Modorina la Recuperadora de Luz,祭神モドリーナ,제신 모도리나
当方英雄,當方為英雄,Hero of the Yeast,Héros de la Levure,Held der Hefe,Eroe del Lievito,Herói do Fermento,Héroe de Levadura,当方は英雄,통빵의 영웅
#Card Translation,,,,,,,,,
通常魔法,通常魔法,Normal Spell,Magie Normale,Normaler Zauber,Magia Normale,Magia Normal,Mágica Normal,通常魔法,일반 마법
场地魔法,場地魔法,Field Spell,Magie de Terrain,Spielfieldzauber,Magia Terreno,Magia de Campo,Mágica de Campo,フィールド魔法,필드 마법
装备魔法,裝備魔法,Equip Spell,Magie d'Équipement,Ausrüstungszauber,Magia Equipaggiamento,Magia de Equipamento,Mágica de Equipo,装備魔法,장착 마법
永续魔法,永續魔法,Continuous Spell,Magie Continue,Permanenter Zauber,Magia Continua,Magia Contínua,Mágica Continua,永続魔法,지속 마법
速攻魔法,速攻魔法,Quick-Play Spell,Magie Jeu-Rapide,Schnellzauber,Magia Rapida,Magia Rápida,Mágica de Juego Rápido,速攻魔法,속공 마법
仪式魔法,儀式魔法,Ritual Spell,Magie Rituelle,Ritualzauber,Magia Rituale,Magia de Ritual,Mágica de Ritual,儀式魔法,의식 마법
通常陷阱,通常陷阱,Normal Trap,Piège Normal,Normale Falle,Trappola Normale,Armadilha Normal,Trampa Normal,通常罠,일반 함정
